Date,Low,High,Last,Change,% Change
25 Jul 2025,2845.00, 2847.00, 2846.00, -8.00, -0.28%
24 Jul 2025,2853.00, 2855.00, 2854.00, -11.25, -0.39%
23 Jul 2025,2865.00, 2865.50, 2865.25, 36.25, 1.28%
22 Jul 2025,2828.00, 2830.00, 2829.00, -10.00, -0.35%
21 Jul 2025,2838.00, 2840.00, 2839.00, 56.75, 2.04%
21 Jul 2025,1.2873,1.2882,1.2877,0.0257, 2.04%
18 Jul 2025,1.2619,1.2621,1.262,0.0341, 2.78%
17 Jul 2025,1.2274,1.2283,1.2279,0.0093, 0.76%
16 Jul 2025,1.2183,1.2188,1.2186,-0.0086, -0.70%
15 Jul 2025,1.227,1.2274,1.2272,-0.0068, -0.55%
14 Jul 2025,1.2338,1.2342,1.234,-0.0127, -1.02%
11 Jul 2025,1.2465,1.2469,1.2467,-0.0129, -1.02%
10 Jul 2025,1.2592,1.2601,1.2596,0.0227, 1.84%
09 Jul 2025,1.2367,1.2372,1.2369,0.0049, 0.40%
08 Jul 2025,1.2317,1.2322,1.232,0.0093, 0.76%
07 Jul 2025,1.2224,1.2229,1.2227,-0.0184, -1.48%
04 Jul 2025,1.241,1.2413,1.2411,-0.0062, -0.50%
03 Jul 2025,1.2472,1.2474,1.2473,0.0092, 0.74%
02 Jul 2025,1.2379,1.2383,1.2381,-0.0033, -0.27%
01 Jul 2025,1.2413,1.2415,1.2414,-0.0131, -1.04%
30 Jun 2025,1.2544,1.2546,1.2545,0.0046, 0.37%
27 Jun 2025,1.2496,1.2501,1.2499,0.005, 0.40%
26 Jun 2025,1.2447,1.2451,1.2449,0.0139, 1.13%
25 Jun 2025,1.2306,1.2315,1.231,0.0022, 0.18%
24 Jun 2025,1.2283,1.2292,1.2288,0.0141, 1.16%
23 Jun 2025,1.2143,1.2152,1.2147,0.0155, 1.29%
20 Jun 2025,1.1991,1.1993,1.1992,0.006, 0.50%
19 Jun 2025,1.1929,1.1934,1.1932,-0.0029, -0.24%
18 Jun 2025,1.1957,1.1966,1.1961,-0.0018, -0.15%
17 Jun 2025,1.1975,1.1984,1.1979,-0.0081, -0.67%
16 Jun 2025,1.2059,1.2061,1.206,0.0292, 2.48%
13 Jun 2025,1.1766,1.1771,1.1768,-0.023, -1.92%
12 Jun 2025,1.1993,1.2002,1.1998,-0.0099, -0.82%
11 Jun 2025,1.2093,1.2102,1.2097,0.0079, 0.66%
10 Jun 2025,1.2016,1.202,1.2018,-0.0008, -0.07%
09 Jun 2025,1.2025,1.2027,1.2026,-0.007, -0.58%
06 Jun 2025,1.2095,1.2097,1.2096,-0.0099, -0.81%
05 Jun 2025,1.2193,1.2197,1.2195,-0.0077, -0.63%
04 Jun 2025,1.227,1.2274,1.2272,0.0093, 0.76%
03 Jun 2025,1.2174,1.2183,1.2179,0.0048, 0.40%
02 Jun 2025,1.2129,1.2134,1.2131,0.0077, 0.64%
30 May 2025,1.2052,1.2056,1.2054,-0.0224, -1.82%
29 May 2025,1.2276,1.2279,1.2278,-0.0001, -0.01%
28 May 2025,1.2274,1.2283,1.2279,0.0048, 0.39%
27 May 2025,1.2229,1.2233,1.2231,0.0096, 0.79%
23 May 2025,1.2134,1.2136,1.2135,-0.0062, -0.51%
22 May 2025,1.2193,1.2202,1.2197,-0.012, -0.97%
21 May 2025,1.2315,1.232,1.2317,0.0079, 0.65%
20 May 2025,1.2233,1.2242,1.2238,0.0036, 0.30%
19 May 2025,1.2199,1.2204,1.2202,-0.002, -0.16%
16 May 2025,1.222,1.2224,1.2222,-0.0099, -0.80%
15 May 2025,1.232,1.2322,1.2321,-0.0223, -1.78%
14 May 2025,1.2542,1.2546,1.2544,0.0432, 3.57%
13 May 2025,1.2111,1.2113,1.2112,-0.022, -1.78%
12 May 2025,1.2331,1.2333,1.2332,0.033, 2.75%
09 May 2025,1.1998,1.2007,1.2002,0.0224, 1.90%
08 May 2025,1.1775,1.178,1.1778,-0.0131, -1.10%
07 May 2025,1.1907,1.1911,1.1909,0.0018, 0.15%
06 May 2025,1.1889,1.1893,1.1891,0.0032, 0.27%
02 May 2025,1.1857,1.1861,1.1859,0.0068, 0.58%
01 May 2025,1.1789,1.1793,1.1791,-0.0161, -1.35%
30 Apr 2025,1.195,1.1954,1.1952,-0.0118, -0.98%
29 Apr 2025,1.2066,1.2075,1.207,0.0101, 0.84%
28 Apr 2025,1.1968,1.197,1.1969,-0.0056, -0.47%
25 Apr 2025,1.202,1.2029,1.2025,-0.009, -0.74%
24 Apr 2025,1.2111,1.212,1.2115,0.0095, 0.79%
23 Apr 2025,1.2018,1.2022,1.202,0.0177, 1.49%
22 Apr 2025,1.1839,1.1848,1.1843,0.0224, 1.93%
17 Apr 2025,1.1617,1.1621,1.1619,-0.0061, -0.52%
16 Apr 2025,1.1678,1.1682,1.168,-0.0243, -2.04%
15 Apr 2025,1.192,1.1925,1.1923,-0.0099, -0.82%
14 Apr 2025,1.202,1.2025,1.2022,-0.0078, -0.64%
11 Apr 2025,1.2097,1.2102,1.21,0.0132, 1.10%
10 Apr 2025,1.1966,1.197,1.1968,0.0435, 3.77%
09 Apr 2025,1.153,1.1535,1.1533,-0.0365, -3.07%
08 Apr 2025,1.1893,1.1902,1.1898,0.0139, 1.18%
07 Apr 2025,1.1757,1.1762,1.1759,-0.0302, -2.50%
04 Apr 2025,1.2056,1.2066,1.2061,-0.0356, -2.87%
03 Apr 2025,1.2415,1.2419,1.2417,-0.0234, -1.85%
02 Apr 2025,1.2646,1.2655,1.2651,-0.0215, -1.67%
01 Apr 2025,1.2864,1.2868,1.2866,-0.0026, -0.20%
31 Mar 2025,1.2891,1.2893,1.2892,-0.0133, -1.02%
28 Mar 2025,1.3023,1.3027,1.3025,-0.0219, -1.65%
27 Mar 2025,1.3243,1.3245,1.3244,-0.0151, -1.13%
26 Mar 2025,1.339,1.3399,1.3395,-0.0049, -0.36%
25 Mar 2025,1.3442,1.3447,1.3444,0.0011, 0.08%
24 Mar 2025,1.3431,1.3435,1.3433,0.0196, 1.48%
21 Mar 2025,1.3236,1.3238,1.3237,-0.0066, -0.50%
20 Mar 2025,1.3302,1.3304,1.3303,-0.006, -0.45%
19 Mar 2025,1.3358,1.3367,1.3363,0.0074, 0.56%
18 Mar 2025,1.3288,1.329,1.3289,-0.0191, -1.42%
17 Mar 2025,1.3478,1.3481,1.348,-0.0043, -0.32%
14 Mar 2025,1.3522,1.3524,1.3523,0.0226, 1.70%
13 Mar 2025,1.3295,1.3299,1.3297,-0.0154, -1.14%
12 Mar 2025,1.3449,1.3454,1.3451,0.0283, 2.15%
11 Mar 2025,1.3163,1.3172,1.3168,0.0177, 1.36%
10 Mar 2025,1.2986,1.2995,1.2991,-0.0061, -0.47%
07 Mar 2025,1.305,1.3054,1.3052,-0.0197, -1.49%
06 Mar 2025,1.3245,1.3254,1.3249,0.029, 2.24%
05 Mar 2025,1.2955,1.2964,1.2959,0.0122, 0.95%
04 Mar 2025,1.2832,1.2841,1.2837,-0.0006, -0.05%
03 Mar 2025,1.2841,1.2846,1.2843,0.0149, 1.17%
28 Feb 2025,1.2692,1.2696,1.2694,-0.0168, -1.31%
